This file contains information about the containers on an already loaded ship.
The sorting is already done when loading the containers.
Ship dimensions (length, width, height): 
24	22	18
Dimensions for each section (length, width, max_height): 
4	11	18
--------------------
Section 3
This section has no holding container
--------------------
Stack at (0, 0), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 6,	 0)	1979	20	2	20	22	20
(3,	 6,	 0)	1981	20	2	14	16	20
(3,	 6,	 1)	2674	20	2	10	12	20
(3,	 6,	 1)	2697	20	2	15	17	20
(3,	 6,	 2)	4763	20	2	11	13	20
(3,	 6,	 2)	4764	20	2	7	9	20
(3,	 6,	 3)	1595	40	4	15	19	22
(3,	 6,	 4)	4092	40	4	15	19	22
(3,	 6,	 5)	3759	40	4	14	18	22
(3,	 6,	 6)	1261	40	4	13	17	22
(3,	 6,	 7)	0939	40	4	12	16	22
(3,	 6,	 8)	0458	40	4	11	15	22
(3,	 6,	 9)	0332	40	4	8	12	22
(3,	 6,	 10)	0742	40	4	8	12	22
(3,	 6,	 11)	3452	40	4	5	9	22
(3,	 6,	 12)	3629	40	4	4	8	22
(3,	 6,	 13)	4434	20	2	3	5	20
(3,	 6,	 13)	4444	20	2	1	3	20
(3,	 6,	 14)	3272	40	4	3	7	22
(3,	 6,	 15)	4594	20	2	3	5	20
(3,	 6,	 15)	4595	20	2	0	2	20
(3,	 6,	 16)	5179	40	4	2	6	22
(3,	 6,	 17)	5301	40	4	2	6	22
Stack at (3, 7), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 7,	 0)	0339	20	2	20	22	20
(3,	 7,	 0)	0340	20	2	18	20	20
(3,	 7,	 1)	4624	20	2	18	20	20
(3,	 7,	 1)	4633	20	2	12	14	20
(3,	 7,	 2)	1543	20	2	18	20	20
(3,	 7,	 2)	1544	20	2	10	12	20
(3,	 7,	 3)	6180	20	2	6	8	20
(3,	 7,	 3)	6191	20	2	19	21	20
(3,	 7,	 4)	1004	40	4	21	25	22
(3,	 7,	 5)	3265	40	4	21	25	22
(3,	 7,	 6)	5663	20	2	10	12	20
(3,	 7,	 6)	5682	20	2	6	8	20
(3,	 7,	 7)	5978	20	2	6	8	20
(3,	 7,	 7)	5979	20	2	10	12	20
(3,	 7,	 8)	2564	40	4	15	19	22
(3,	 7,	 9)	4024	40	4	13	17	22
(3,	 7,	 10)	5382	40	4	13	17	22
(3,	 7,	 11)	6301	20	2	5	7	20
(3,	 7,	 11)	6302	20	2	8	10	20
(3,	 7,	 12)	4385	40	4	12	16	22
(3,	 7,	 13)	2979	40	4	11	15	22
(3,	 7,	 14)	3766	40	4	11	15	22
(3,	 7,	 15)	2350	40	4	9	13	22
(3,	 7,	 16)	6294	40	4	8	12	22
(3,	 7,	 17)	2107	20	2	1	3	20
(3,	 7,	 17)	2108	20	2	6	8	20
Stack at (3, 8), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 8,	 0)	1425	20	2	20	22	20
(3,	 8,	 0)	1433	20	2	15	17	20
(3,	 8,	 1)	0872	20	2	18	20	20
(3,	 8,	 1)	0873	20	2	8	10	20
(3,	 8,	 2)	5400	20	2	18	20	20
(3,	 8,	 2)	5407	20	2	4	6	20
(3,	 8,	 3)	4547	40	4	17	21	22
(3,	 8,	 4)	2451	20	2	10	12	20
(3,	 8,	 4)	2452	20	2	6	8	20
(3,	 8,	 5)	3312	40	4	16	20	22
(3,	 8,	 6)	3722	20	2	6	8	20
(3,	 8,	 6)	3723	20	2	10	12	20
(3,	 8,	 7)	4198	40	4	16	20	22
(3,	 8,	 8)	0534	20	2	0	2	20
(3,	 8,	 8)	0535	20	2	13	15	20
(3,	 8,	 9)	0362	40	4	12	16	22
(3,	 8,	 10)	5127	40	4	11	15	22
(3,	 8,	 11)	3005	40	4	7	11	22
(3,	 8,	 12)	2177	20	2	3	5	20
(3,	 8,	 12)	2187	20	2	2	4	20
(3,	 8,	 13)	2788	20	2	4	6	20
(3,	 8,	 13)	2816	20	2	0	2	20
(3,	 8,	 14)	3186	40	4	2	6	22
(3,	 8,	 15)	4102	40	4	1	5	22
(3,	 8,	 16)	5013	40	4	1	5	22
(3,	 8,	 17)	2367	40	4	0	4	22
Stack at (3, 9), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 9,	 0)	4302	20	2	10	12	20
(3,	 9,	 0)	4313	20	2	20	22	20
(3,	 9,	 1)	1650	20	2	2	4	20
(3,	 9,	 1)	1652	20	2	20	22	20
(3,	 9,	 2)	2843	40	4	22	26	22
(3,	 9,	 3)	3398	40	4	21	25	22
(3,	 9,	 4)	5543	40	4	20	24	22
(3,	 9,	 5)	3873	20	2	11	13	20
(3,	 9,	 5)	3878	20	2	8	10	20
(3,	 9,	 6)	1293	40	4	15	19	22
(3,	 9,	 7)	5137	40	4	15	19	22
(3,	 9,	 8)	0687	20	2	10	12	20
(3,	 9,	 8)	0696	20	2	4	6	20
(3,	 9,	 9)	6090	40	4	12	16	22
(3,	 9,	 10)	1014	40	4	11	15	22
(3,	 9,	 11)	2548	40	4	11	15	22
(3,	 9,	 12)	0443	40	4	10	14	22
(3,	 9,	 13)	2192	40	4	8	12	22
(3,	 9,	 14)	5907	40	4	7	11	22
(3,	 9,	 15)	0366	40	4	6	10	22
(3,	 9,	 16)	4997	20	2	1	3	20
(3,	 9,	 16)	5007	20	2	4	6	20
(3,	 9,	 17)	2435	40	4	4	8	22
Stack at (3, 10), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 10,	 0)	5338	20	2	9	11	20
(3,	 10,	 0)	5351	20	2	17	19	20
(3,	 10,	 1)	3216	20	2	14	16	20
(3,	 10,	 1)	3217	20	2	9	11	20
(3,	 10,	 2)	6253	40	4	22	26	22
(3,	 10,	 3)	4069	40	4	21	25	22
(3,	 10,	 4)	1846	20	2	2	4	20
(3,	 10,	 4)	1847	20	2	18	20	20
(3,	 10,	 5)	2539	40	4	20	24	22
(3,	 10,	 6)	1042	40	4	19	23	22
(3,	 10,	 7)	0369	40	4	18	22	22
(3,	 10,	 8)	0661	20	2	16	18	20
(3,	 10,	 8)	0668	20	2	1	3	20
(3,	 10,	 9)	4929	20	2	2	4	20
(3,	 10,	 9)	4935	20	2	15	17	20
(3,	 10,	 10)	1514	40	4	15	19	22
(3,	 10,	 11)	4513	40	4	15	19	22
(3,	 10,	 12)	5864	40	4	14	18	22
(3,	 10,	 13)	3765	20	2	12	14	20
(3,	 10,	 13)	3772	20	2	0	2	20
(3,	 10,	 14)	6149	20	2	4	6	20
(3,	 10,	 14)	6150	20	2	8	10	20
(3,	 10,	 15)	2298	20	2	0	2	20
(3,	 10,	 15)	2312	20	2	8	10	20
(3,	 10,	 16)	3004	20	2	5	7	20
(3,	 10,	 16)	3014	20	2	1	3	20
(3,	 10,	 17)	6118	40	4	1	5	22
--------------------
Section 5
This section has a holding container with the following information:
code	length	weight	cargo	TW	cargo capacity
6317	20	2	15	17	20
--------------------
Stack at (0, 0), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 0,	 0)	5816	20	2	19	21	20
(0,	 0,	 0)	5817	20	2	19	21	20
(0,	 0,	 1)	0723	20	2	17	19	20
(0,	 0,	 1)	0724	20	2	20	22	20
(0,	 0,	 2)	1961	20	2	12	14	20
(0,	 0,	 2)	1962	20	2	20	22	20
(0,	 0,	 3)	6278	20	2	6	8	20
(0,	 0,	 3)	6295	20	2	17	19	20
(0,	 0,	 4)	4089	40	4	22	26	22
(0,	 0,	 5)	3090	40	4	20	24	22
(0,	 0,	 6)	5186	40	4	17	21	22
(0,	 0,	 7)	5513	40	4	17	21	22
(0,	 0,	 8)	6227	20	2	8	10	20
(0,	 0,	 8)	6228	20	2	9	11	20
(0,	 0,	 9)	2691	40	4	16	20	22
(0,	 0,	 10)	1637	40	4	15	19	22
(0,	 0,	 11)	4632	40	4	15	19	22
(0,	 0,	 12)	0438	40	4	11	15	22
(0,	 0,	 13)	3543	40	4	10	14	22
(0,	 0,	 14)	3801	40	4	10	14	22
(0,	 0,	 15)	0009	40	4	7	11	22
(0,	 0,	 16)	4934	40	4	7	11	22
(0,	 0,	 17)	1530	40	4	3	7	22
Stack at (0, 1), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 1,	 0)	0008	20	2	14	16	20
(0,	 1,	 0)	0012	20	2	20	22	20
(0,	 1,	 1)	2234	20	2	13	15	20
(0,	 1,	 1)	2235	20	2	11	13	20
(0,	 1,	 2)	0918	20	2	9	11	20
(0,	 1,	 2)	0934	20	2	13	15	20
(0,	 1,	 3)	4182	20	2	6	8	20
(0,	 1,	 3)	4191	20	2	15	17	20
(0,	 1,	 4)	1430	40	4	17	21	22
(0,	 1,	 5)	1817	40	4	17	21	22
(0,	 1,	 6)	2792	40	4	17	21	22
(0,	 1,	 7)	3830	20	2	4	6	20
(0,	 1,	 7)	3846	20	2	10	12	20
(0,	 1,	 8)	5577	20	2	14	16	20
(0,	 1,	 8)	5584	20	2	0	2	20
(0,	 1,	 9)	5892	20	2	8	10	20
(0,	 1,	 9)	5893	20	2	6	8	20
(0,	 1,	 10)	5295	40	4	13	17	22
(0,	 1,	 11)	3575	40	4	10	14	22
(0,	 1,	 12)	5125	40	4	7	11	22
(0,	 1,	 13)	3205	40	4	6	10	22
(0,	 1,	 14)	3410	40	4	6	10	22
(0,	 1,	 15)	4737	40	4	5	9	22
(0,	 1,	 16)	4872	20	2	0	2	20
(0,	 1,	 16)	4885	20	2	4	6	20
(0,	 1,	 17)	5029	40	4	2	6	22
Stack at (0, 2), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 2,	 0)	1180	20	2	14	16	20
(0,	 2,	 0)	1181	20	2	11	13	20
(0,	 2,	 1)	0024	40	4	22	26	22
(0,	 2,	 2)	3523	20	2	5	7	20
(0,	 2,	 2)	3527	20	2	16	18	20
(0,	 2,	 3)	3125	40	4	17	21	22
(0,	 2,	 4)	2669	40	4	15	19	22
(0,	 2,	 5)	2337	40	4	14	18	22
(0,	 2,	 6)	1739	40	4	12	16	22
(0,	 2,	 7)	4501	40	4	11	15	22
(0,	 2,	 8)	0973	40	4	7	11	22
(0,	 2,	 9)	2171	40	4	6	10	22
(0,	 2,	 10)	0741	40	4	4	8	22
(0,	 2,	 11)	4121	40	4	3	7	22
(0,	 2,	 12)	4382	40	4	3	7	22
(0,	 2,	 13)	0853	40	4	2	6	22
(0,	 2,	 14)	4014	20	2	0	2	20
(0,	 2,	 14)	4015	20	2	1	3	20
(0,	 2,	 15)	2087	40	4	0	4	22
(0,	 2,	 16)	3039	40	4	0	4	22
(0,	 2,	 17)	4263	40	4	0	4	22
Stack at (0, 3), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 3,	 0)	1222	20	2	11	13	20
(0,	 3,	 0)	1223	20	2	13	15	20
(0,	 3,	 1)	4845	20	2	11	13	20
(0,	 3,	 1)	4855	20	2	13	15	20
(0,	 3,	 2)	0636	20	2	19	21	20
(0,	 3,	 2)	0643	20	2	4	6	20
(0,	 3,	 3)	2791	20	2	6	8	20
(0,	 3,	 3)	2802	20	2	17	19	20
(0,	 3,	 4)	3358	40	4	22	26	22
(0,	 3,	 5)	0035	40	4	21	25	22
(0,	 3,	 6)	2294	40	4	21	25	22
(0,	 3,	 7)	4427	20	2	3	5	20
(0,	 3,	 7)	4428	20	2	18	20	20
(0,	 3,	 8)	5607	20	2	2	4	20
(0,	 3,	 8)	5619	20	2	17	19	20
(0,	 3,	 9)	6241	20	2	2	4	20
(0,	 3,	 9)	6242	20	2	17	19	20
(0,	 3,	 10)	3800	20	2	15	17	20
(0,	 3,	 10)	3803	20	2	2	4	20
(0,	 3,	 11)	5316	20	2	13	15	20
(0,	 3,	 11)	5317	20	2	2	4	20
(0,	 3,	 12)	1745	40	4	11	15	22
(0,	 3,	 13)	6115	40	4	11	15	22
(0,	 3,	 14)	2021	40	4	10	14	22
(0,	 3,	 15)	6057	40	4	6	10	22
(0,	 3,	 16)	5984	40	4	3	7	22
(0,	 3,	 17)	4243	40	4	2	6	22
Stack at (0, 4), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 4,	 0)	4340	20	2	13	15	20
(0,	 4,	 0)	4356	20	2	11	13	20
(0,	 4,	 1)	1550	40	4	21	25	22
(0,	 4,	 2)	0046	40	4	18	22	22
(0,	 4,	 3)	0578	40	4	17	21	22
(0,	 4,	 4)	2248	40	4	16	20	22
(0,	 4,	 5)	3583	20	2	10	12	20
(0,	 4,	 5)	3627	20	2	6	8	20
(0,	 4,	 6)	3365	40	4	14	18	22
(0,	 4,	 7)	5107	40	4	13	17	22
(0,	 4,	 8)	3032	40	4	11	15	22
(0,	 4,	 9)	4866	40	4	10	14	22
(0,	 4,	 10)	1325	40	4	9	13	22
(0,	 4,	 11)	4020	40	4	9	13	22
(0,	 4,	 12)	2030	40	4	7	11	22
(0,	 4,	 13)	1114	40	4	5	9	22
(0,	 4,	 14)	2902	40	4	4	8	22
(0,	 4,	 15)	2644	40	4	3	7	22
(0,	 4,	 16)	1041	40	4	1	5	22
(0,	 4,	 17)	2771	40	4	1	5	22
Stack at (0, 5), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 5,	 0)	0577	20	2	18	20	20
(0,	 5,	 0)	0587	20	2	20	22	20
(0,	 5,	 1)	2372	20	2	15	17	20
(0,	 5,	 1)	2386	20	2	14	16	20
(0,	 5,	 2)	4019	20	2	15	17	20
(0,	 5,	 2)	4023	20	2	9	11	20
(0,	 5,	 3)	4631	20	2	14	16	20
(0,	 5,	 3)	4640	20	2	8	10	20
(0,	 5,	 4)	5414	40	4	21	25	22
(0,	 5,	 5)	5935	40	4	21	25	22
(0,	 5,	 6)	0053	40	4	18	22	22
(0,	 5,	 7)	6142	40	4	18	22	22
(0,	 5,	 8)	1429	20	2	9	11	20
(0,	 5,	 8)	1437	20	2	8	10	20
(0,	 5,	 9)	3641	40	4	16	20	22
(0,	 5,	 10)	5068	40	4	14	18	22
(0,	 5,	 11)	2985	40	4	10	14	22
(0,	 5,	 12)	3439	40	4	9	13	22
(0,	 5,	 13)	2174	40	4	8	12	22
(0,	 5,	 14)	1948	40	4	5	9	22
(0,	 5,	 15)	3293	40	4	3	7	22
(0,	 5,	 16)	5789	40	4	3	7	22
(0,	 5,	 17)	1827	40	4	2	6	22
Stack at (0, 6), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 6,	 0)	2128	40	4	21	25	22
(0,	 6,	 1)	2563	40	4	21	25	22
(0,	 6,	 2)	3615	40	4	21	25	22
(0,	 6,	 3)	0454	20	2	4	6	20
(0,	 6,	 3)	0455	20	2	16	18	20
(0,	 6,	 4)	1664	20	2	0	2	20
(0,	 6,	 4)	1670	20	2	18	20	20
(0,	 6,	 5)	4487	40	4	18	22	22
(0,	 6,	 6)	1262	40	4	17	21	22
(0,	 6,	 7)	5074	40	4	15	19	22
(0,	 6,	 8)	3204	20	2	3	5	20
(0,	 6,	 8)	3208	20	2	8	10	20
(0,	 6,	 9)	4887	40	4	8	12	22
(0,	 6,	 10)	0877	40	4	7	11	22
(0,	 6,	 11)	4123	40	4	6	10	22
(0,	 6,	 12)	1074	40	4	4	8	22
(0,	 6,	 13)	3513	40	4	4	8	22
(0,	 6,	 14)	0388	40	4	3	7	22
(0,	 6,	 15)	3077	40	4	3	7	22
(0,	 6,	 16)	4386	40	4	2	6	22
(0,	 6,	 17)	0062	40	4	1	5	22
Stack at (0, 7), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 7,	 0)	4571	20	2	19	21	20
(0,	 7,	 0)	4572	20	2	20	22	20
(0,	 7,	 1)	2912	40	4	22	26	22
(0,	 7,	 2)	2086	20	2	14	16	20
(0,	 7,	 2)	2090	20	2	6	8	20
(0,	 7,	 3)	5325	20	2	18	20	20
(0,	 7,	 3)	5326	20	2	2	4	20
(0,	 7,	 4)	5710	20	2	3	5	20
(0,	 7,	 4)	5711	20	2	17	19	20
(0,	 7,	 5)	0655	40	4	19	23	22
(0,	 7,	 6)	1235	40	4	19	23	22
(0,	 7,	 7)	2511	40	4	17	21	22
(0,	 7,	 8)	3442	40	4	14	18	22
(0,	 7,	 9)	0061	20	2	2	4	20
(0,	 7,	 9)	0066	20	2	8	10	20
(0,	 7,	 10)	4040	40	4	10	14	22
(0,	 7,	 11)	1790	40	4	8	12	22
(0,	 7,	 12)	0478	40	4	7	11	22
(0,	 7,	 13)	4390	40	4	7	11	22
(0,	 7,	 14)	3771	40	4	5	9	22
(0,	 7,	 15)	1689	20	2	1	3	20
(0,	 7,	 15)	1690	20	2	2	4	20
(0,	 7,	 16)	1118	40	4	2	6	22
(0,	 7,	 17)	3966	40	4	1	5	22
Stack at (0, 8), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 8,	 0)	5130	20	2	14	16	20
(0,	 8,	 0)	5131	20	2	17	19	20
(0,	 8,	 1)	0532	20	2	15	17	20
(0,	 8,	 1)	0533	20	2	12	14	20
(0,	 8,	 2)	5692	20	2	18	20	20
(0,	 8,	 2)	5693	20	2	5	7	20
(0,	 8,	 3)	2106	40	4	17	21	22
(0,	 8,	 4)	4807	20	2	12	14	20
(0,	 8,	 4)	4808	20	2	5	7	20
(0,	 8,	 5)	0071	40	4	16	20	22
(0,	 8,	 6)	3747	40	4	16	20	22
(0,	 8,	 7)	4438	40	4	16	20	22
(0,	 8,	 8)	2467	40	4	13	17	22
(0,	 8,	 9)	1695	20	2	11	13	20
(0,	 8,	 9)	1696	20	2	1	3	20
(0,	 8,	 10)	2838	40	4	11	15	22
(0,	 8,	 11)	1187	40	4	10	14	22
(0,	 8,	 12)	3514	20	2	5	7	20
(0,	 8,	 12)	3515	20	2	5	7	20
(0,	 8,	 13)	3267	40	4	9	13	22
(0,	 8,	 14)	1486	40	4	8	12	22
(0,	 8,	 15)	4120	20	2	5	7	20
(0,	 8,	 15)	4138	20	2	1	3	20
(0,	 8,	 16)	3117	40	4	3	7	22
(0,	 8,	 17)	1974	40	4	0	4	22
Stack at (0, 9), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 9,	 0)	0396	20	2	7	9	20
(0,	 9,	 0)	0397	20	2	18	20	20
(0,	 9,	 1)	3154	40	4	19	23	22
(0,	 9,	 2)	2020	20	2	5	7	20
(0,	 9,	 2)	2036	20	2	11	13	20
(0,	 9,	 3)	2757	20	2	14	16	20
(0,	 9,	 3)	2758	20	2	2	4	20
(0,	 9,	 4)	4714	20	2	6	8	20
(0,	 9,	 4)	4721	20	2	10	12	20
(0,	 9,	 5)	2458	20	2	1	3	20
(0,	 9,	 5)	2459	20	2	12	14	20
(0,	 9,	 6)	1063	40	4	11	15	22
(0,	 9,	 7)	1738	20	2	3	5	20
(0,	 9,	 7)	1752	20	2	8	10	20
(0,	 9,	 8)	3904	40	4	11	15	22
(0,	 9,	 9)	4457	40	4	10	14	22
(0,	 9,	 10)	1538	40	4	7	11	22
(0,	 9,	 11)	3679	40	4	6	10	22
(0,	 9,	 12)	4177	40	4	6	10	22
(0,	 9,	 13)	1392	40	4	4	8	22
(0,	 9,	 14)	0079	40	4	3	7	22
(0,	 9,	 15)	3574	20	2	1	3	20
(0,	 9,	 15)	3578	20	2	1	3	20
(0,	 9,	 16)	0879	40	4	1	5	22
(0,	 9,	 17)	0975	40	4	1	5	22
Stack at (0, 10), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 10,	 0)	5044	20	2	17	19	20
(0,	 10,	 0)	5082	20	2	18	20	20
(0,	 10,	 1)	3403	20	2	20	22	20
(0,	 10,	 1)	3417	20	2	11	13	20
(0,	 10,	 2)	4323	20	2	12	14	20
(0,	 10,	 2)	4324	20	2	17	19	20
(0,	 10,	 3)	1274	20	2	11	13	20
(0,	 10,	 3)	1286	20	2	15	17	20
(0,	 10,	 4)	2612	20	2	17	19	20
(0,	 10,	 4)	2613	20	2	7	9	20
(0,	 10,	 5)	6251	40	4	22	26	22
(0,	 10,	 6)	0793	40	4	21	25	22
(0,	 10,	 7)	1859	40	4	21	25	22
(0,	 10,	 8)	5836	20	2	9	11	20
(0,	 10,	 8)	5837	20	2	11	13	20
(0,	 10,	 9)	0445	40	4	16	20	22
(0,	 10,	 10)	2366	40	4	10	14	22
(0,	 10,	 11)	6092	40	4	9	13	22
(0,	 10,	 12)	3187	40	4	8	12	22
(0,	 10,	 13)	0089	40	4	7	11	22
(0,	 10,	 14)	4054	40	4	7	11	22
(0,	 10,	 15)	4905	40	4	5	9	22
(0,	 10,	 16)	5739	40	4	3	7	22
(0,	 10,	 17)	6202	40	4	3	7	22
Stack at (1, 0), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 0,	 0)	4242	20	2	16	18	20
(1,	 0,	 0)	4245	20	2	18	20	20
(1,	 0,	 1)	2934	20	2	17	19	20
(1,	 0,	 1)	2935	20	2	7	9	20
(1,	 0,	 2)	0091	40	4	21	25	22
(1,	 0,	 3)	4941	20	2	12	14	20
(1,	 0,	 3)	4942	20	2	9	11	20
(1,	 0,	 4)	1077	40	4	19	23	22
(1,	 0,	 5)	2191	40	4	19	23	22
(1,	 0,	 6)	0663	40	4	18	22	22
(1,	 0,	 7)	5985	40	4	17	21	22
(1,	 0,	 8)	3831	40	4	16	20	22
(1,	 0,	 9)	1783	40	4	15	19	22
(1,	 0,	 10)	5578	40	4	11	15	22
(1,	 0,	 11)	1556	40	4	9	13	22
(1,	 0,	 12)	3584	40	4	9	13	22
(1,	 0,	 13)	5790	40	4	9	13	22
(1,	 0,	 14)	2625	20	2	8	10	20
(1,	 0,	 14)	2626	20	2	0	2	20
(1,	 0,	 15)	5423	40	4	7	11	22
(1,	 0,	 16)	2868	40	4	1	5	22
(1,	 0,	 17)	3524	40	4	1	5	22
Stack at (1, 1), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 1,	 0)	3320	20	2	17	19	20
(1,	 1,	 0)	3321	20	2	13	15	20
(1,	 1,	 1)	0070	20	2	5	7	20
(1,	 1,	 1)	0102	20	2	18	20	20
(1,	 1,	 2)	4999	20	2	10	12	20
(1,	 1,	 2)	5031	20	2	13	15	20
(1,	 1,	 3)	1377	40	4	21	25	22
(1,	 1,	 4)	1828	40	4	21	25	22
(1,	 1,	 5)	5484	40	4	21	25	22
(1,	 1,	 6)	0900	40	4	19	23	22
(1,	 1,	 7)	4298	40	4	19	23	22
(1,	 1,	 8)	2700	40	4	12	16	22
(1,	 1,	 9)	4773	20	2	4	6	20
(1,	 1,	 9)	4774	20	2	8	10	20
(1,	 1,	 10)	2347	40	4	9	13	22
(1,	 1,	 11)	5902	20	2	5	7	20
(1,	 1,	 11)	5903	20	2	4	6	20
(1,	 1,	 12)	0770	40	4	6	10	22
(1,	 1,	 13)	4058	40	4	6	10	22
(1,	 1,	 14)	2992	40	4	5	9	22
(1,	 1,	 15)	2573	40	4	2	6	22
(1,	 1,	 16)	3193	40	4	2	6	22
(1,	 1,	 17)	3971	40	4	2	6	22
Stack at (1, 2), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 2,	 0)	4001	40	4	22	26	22
(1,	 2,	 1)	4894	20	2	6	8	20
(1,	 2,	 1)	4910	20	2	16	18	20
(1,	 2,	 2)	2699	20	2	7	9	20
(1,	 2,	 2)	2704	20	2	12	14	20
(1,	 2,	 3)	3373	40	4	18	22	22
(1,	 2,	 4)	0365	40	4	17	21	22
(1,	 2,	 5)	2397	40	4	13	17	22
(1,	 2,	 6)	1143	40	4	12	16	22
(1,	 2,	 7)	1494	40	4	12	16	22
(1,	 2,	 8)	2101	40	4	12	16	22
(1,	 2,	 9)	4677	20	2	8	10	20
(1,	 2,	 9)	4686	20	2	4	6	20
(1,	 2,	 10)	1762	40	4	11	15	22
(1,	 2,	 11)	3728	40	4	9	13	22
(1,	 2,	 12)	0670	40	4	8	12	22
(1,	 2,	 13)	0907	40	4	8	12	22
(1,	 2,	 14)	3166	40	4	5	9	22
(1,	 2,	 15)	4526	40	4	3	7	22
(1,	 2,	 16)	5432	40	4	1	5	22
(1,	 2,	 17)	0111	40	4	0	4	22
Stack at (1, 3), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 3,	 0)	4297	20	2	20	22	20
(1,	 3,	 0)	4309	20	2	14	16	20
(1,	 3,	 1)	2678	20	2	16	18	20
(1,	 3,	 1)	2679	20	2	12	14	20
(1,	 3,	 2)	3640	20	2	19	21	20
(1,	 3,	 2)	3646	20	2	8	10	20
(1,	 3,	 3)	1493	20	2	7	9	20
(1,	 3,	 3)	1505	20	2	18	20	20
(1,	 3,	 4)	5010	40	4	19	23	22
(1,	 3,	 5)	2258	40	4	17	21	22
(1,	 3,	 6)	6004	40	4	17	21	22
(1,	 3,	 7)	1062	20	2	5	7	20
(1,	 3,	 7)	1085	20	2	10	12	20
(1,	 3,	 8)	3333	40	4	15	19	22
(1,	 3,	 9)	5771	20	2	7	9	20
(1,	 3,	 9)	5777	20	2	6	8	20
(1,	 3,	 10)	5565	40	4	10	14	22
(1,	 3,	 11)	0113	40	4	9	13	22
(1,	 3,	 12)	0622	40	4	9	13	22
(1,	 3,	 13)	2045	40	4	8	12	22
(1,	 3,	 14)	0476	40	4	7	11	22
(1,	 3,	 15)	0912	40	4	6	10	22
(1,	 3,	 16)	5433	40	4	6	10	22
(1,	 3,	 17)	6141	20	2	0	2	20
(1,	 3,	 17)	6164	20	2	5	7	20
Stack at (1, 4), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 4,	 0)	3965	20	2	12	14	20
(1,	 4,	 0)	3976	20	2	18	20	20
(1,	 4,	 1)	5431	20	2	14	16	20
(1,	 4,	 1)	5447	20	2	16	18	20
(1,	 4,	 2)	2396	20	2	20	22	20
(1,	 4,	 2)	2404	20	2	9	11	20
(1,	 4,	 3)	0675	40	4	22	26	22
(1,	 4,	 4)	0120	40	4	21	25	22
(1,	 4,	 5)	2996	40	4	18	22	22
(1,	 4,	 6)	1197	40	4	17	21	22
(1,	 4,	 7)	6028	40	4	15	19	22
(1,	 4,	 8)	3606	40	4	14	18	22
(1,	 4,	 9)	4920	40	4	14	18	22
(1,	 4,	 10)	1587	40	4	12	16	22
(1,	 4,	 11)	4691	40	4	12	16	22
(1,	 4,	 12)	2135	20	2	3	5	20
(1,	 4,	 12)	2136	20	2	7	9	20
(1,	 4,	 13)	1897	40	4	6	10	22
(1,	 4,	 14)	3450	40	4	6	10	22
(1,	 4,	 15)	5945	40	4	5	9	22
(1,	 4,	 16)	5277	40	4	1	5	22
(1,	 4,	 17)	5361	40	4	0	4	22
Stack at (1, 5), in section: 5
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 5,	 0)	2947	40	4	22	26	22
(1,	 5,	 1)	1794	40	4	21	25	22
(1,	 5,	 2)	3471	40	4	20	24	22
(1,	 5,	 3)	0832	40	4	17	21	22
(1,	 5,	 4)	1447	40	4	16	20	22
(1,	 5,	 5)	2550	40	4	16	20	22
(1,	 5,	 6)	4341	40	4	11	15	22
(1,	 5,	 7)	0419	40	4	10	14	22
(1,	 5,	 8)	4741	40	4	10	14	22
(1,	 5,	 9)	0606	40	4	7	11	22
(1,	 5,	 10)	1249	40	4	6	10	22
